,max 2005-2014,min 2005-2014,max 2015,min 2015
02-22,317.8888888888889,240.1153846153846,311.3333333333333,236.75
02-23,318.35714285714283,238.6,321.0,246.0
02-24,314.3939393939394,237.65625,309.5,240.66666666666666
02-25,318.7096774193548,239.28571428571428,316.0,231.66666666666666
02-26,316.06060606060606,236.83870967741936,314.6666666666667,234.5
02-27,313.7142857142857,236.72413793103448,323.0,244.66666666666666
02-28,321.1034482758621,235.1818181818182,322.25,244.0
02-29,312.2857142857143,234.83333333333334,,
03-01,312.18518518518516,234.41935483870967,326.25,240.0
03-02,314.8709677419355,237.51724137931035,324.75,246.75
03-03,315.7692307692308,237.68,322.3333333333333,245.25
03-04,318.11538461538464,238.10344827586206,336.0,230.0
03-05,312.35483870967744,233.5,316.6666666666667,234.0
03-06,313.38461538461536,233.5,327.0,233.0
03-07,317.7741935483871,234.36,323.75,238.25
03-08,317.58620689655174,237.34375,327.5,245.75
03-09,311.1,234.5,325.3333333333333,243.0
03-10,312.0,234.03125,327.0,241.0
03-11,312.7,233.06451612903226,283.3333333333333,238.0
03-12,309.06666666666666,236.68965517241378,302.25,235.0
03-13,309.7692307692308,233.14814814814815,315.25,237.33333333333334
03-14,309.7931034482759,232.96774193548387,317.0,245.0
03-15,315.96875,235.64705882352942,315.25,249.75
03-16,311.55555555555554,239.82142857142858,323.25,250.33333333333334
03-17,314.9032258064516,237.37037037037038,320.25,249.33333333333334
03-18,320.1034482758621,234.72413793103448,314.6666666666667,250.5
03-19,310.41379310344826,237.19230769230768,318.25,241.5
03-20,309.7307692307692,232.06896551724137,321.25,247.75
03-21,315.64516129032256,236.27586206896552,321.5,244.66666666666666
03-22,312.8965517241379,232.63333333333333,318.5,241.0
03-23,313.4516129032258,235.2258064516129,321.6666666666667,238.75
03-24,319.06666666666666,235.06060606060606,320.25,255.33333333333334
03-25,321.2,236.90322580645162,319.5,248.75
03-26,319.55172413793105,235.66666666666666,321.6666666666667,250.0
03-27,316.36,236.0909090909091,326.25,256.5
03-28,317.92857142857144,239.625,324.25,248.33333333333334
03-29,320.84615384615387,234.8,299.3333333333333,236.0
03-30,318.1,238.10344827586206,323.5,241.25
03-31,315.6875,236.67741935483872,319.3333333333333,238.0
04-01,321.25,238.44444444444446,323.5,244.0
04-02,318.32142857142856,235.51724137931035,310.0,235.33333333333334
04-03,319.875,238.92,313.5,236.33333333333334
04-04,314.23333333333335,237.07407407407408,326.0,248.33333333333334
04-05,315.90909090909093,231.86363636363637,297.0,241.5
04-06,315.37931034482756,235.0625,318.5,244.0
04-07,316.40625,236.88888888888889,327.0,250.75
04-08,319.2903225806452,238.25,326.6666666666667,254.5
04-09,318.1034482758621,235.6206896551724,324.0,255.5
04-10,315.1875,230.875,323.25,251.0
04-11,307.4375,233.1,316.5,241.5
04-12,315.9259259259259,233.93548387096774,330.3333333333333,245.75
04-13,315.962962962963,236.37142857142857,332.3333333333333,246.0
04-14,317.875,235.46428571428572,330.5,240.0
04-15,320.93548387096774,232.3125,325.5,245.75
04-16,311.65625,233.14814814814815,327.5,248.0
04-17,317.32,234.55555555555554,323.5,242.0
04-18,319.39285714285717,236.0857142857143,336.0,245.0
04-19,314.45454545454544,238.73529411764707,329.25,235.0
04-20,317.741935483871,235.22222222222223,332.25,237.5
04-21,314.4642857142857,236.19230769230768,331.0,248.0
04-22,316.6,233.875,332.75,245.5
04-23,323.5806451612903,239.0,328.5,247.5
04-24,312.6,234.1,322.75,242.5
04-25,324.75,237.08333333333334,317.5,245.0
04-26,312.6774193548387,237.57142857142858,318.0,245.5
04-27,320.37931034482756,238.93548387096774,304.75,244.0
04-28,319.11538461538464,239.44827586206895,327.5,240.33333333333334
04-29,322.6764705882353,238.89655172413794,322.25,240.0
04-30,321.4516129032258,240.3548387096774,323.0,241.0
05-01,314.48,238.28,310.6666666666667,243.25
05-02,305.96,241.68965517241378,306.5,240.0
05-03,320.6923076923077,239.57142857142858,283.6666666666667,238.33333333333334
05-04,318.93333333333334,241.84375,316.25,240.0
05-05,317.14814814814815,235.8,324.0,240.5
05-06,322.25,238.8,322.5,246.66666666666666
05-07,319.25925925925924,240.94117647058823,324.5,245.33333333333334
05-08,325.76,241.03125,301.0,246.66666666666666
05-09,322.7241379310345,239.875,324.5,249.0
05-10,314.86206896551727,236.68,319.75,250.33333333333334
05-11,317.5806451612903,239.03125,326.6666666666667,248.66666666666666
05-12,317.11538461538464,236.42307692307693,322.75,243.5
05-13,316.81481481481484,237.17857142857142,324.6666666666667,253.5
